abandoned 	VBN 
blood 	NN 
blow 	NN 
blue 	JJ 
board 	NN 
boat 	NN 
body 	NN 
boil 	VB 
bomb 	NN 
bond 	NN 
bone 	NN 
book 	NN 
boot 	NN 
border 	NN 
bored 	VBN 
bore 	VBD 
boring 	JJ 
born 	VBN 
borrow 	VB 
boss 	NN 
both 	CC 
bother 	VBP 
bottle 	VBP 
bottom 	JJ 
bottom 	NN 
bound 	VBD 
bowl 	NN 
box 	NN 
boyfriend 	NN 
boy 	NN 
brain 	NN 
branch 	NN 
brand 	NN 
brave 	VBP 
bread 	NN 
breakfast 	NN 
break 	NN 
breast 	NN 
breathe 	VBP 
breathing 	NN 
breath 	NN 
breed 	NN 
brick 	NN 
bridge 	NN 
brief 	JJ 
briefly 	NN 
bright 	JJ 
brightly 	RB 
brilliant 	JJ 
bring 	VBP 
broadcast 	NN 
broad 	JJ 
broadly 	RB 
broken 	JJ 
brother 	NN 
brown 	JJ 
brush 	NN 
bubble 	NN 
budget 	NN 
building 	NN 
build 	VBP 
bullet 	NN 
bunch 	NN 
burn 	VBP 
burst 	NN 
bury 	VB 
bush 	JJ 
businessman 	NN 
business 	NN 
businesswoman 	NN 
bus 	NN 
busy 	JJ 
but 	CC 
butter 	NN 
butt 	NN 
button 	NN 
buyer 	NN 
buy 	NN 
bye 	NN 
by 	IN 
cabinet 	NN 
cable 	NN 
cake 	NN 
calculate 	VBP 
calculation 	NN 
call 	NN 
calm 	JJ 
calmly 	RB 
camera 	NN 
campaign 	NN 
camp 	NN 
cancel 	VB 
cancer 	NN 
candidate 	NN 
candy 	NN 
can 	MD 
capable 	JJ 
capacity 	NN 
capital 	NN 
cap 	NN 
captain 	NN 
capture 	NN 
card 	NN 
career 	NN 
careful 	JJ 
carefully 	RB 
careless 	JJ 
carelessly 	RB 
care 	NN 
care 	VB 
car 	NN 
carpet 	NN 
carrot 	NN 
carry 	VBP 
case 	NN 
cash 	NN 
castle 	NN 
cast 	VBD 
cast 	VBN 
catch 	NN 
category 	NN 
cat 	NN 
cause 	VB 
CD 	NNP 
cease 	VB 
ceiling 	NN 
celebrate 	VB 
celebration 	NN 
cell 	NN 
cellphone 	NN 
cellular 	JJ 
center 	NN 
centimeter 	NN 
cent 	NN 
central 	JJ 
century 	NN 
ceremony 	NN 
certain 	JJ 
certainly 	RB 
certificate 	NN 
chain 	NN 
chairman 	NN 
chair 	NN 
chairwoman 	NN 
challenge 	NN 
chamber 	NN 
chance 	NN 
change 	NN 
channel 	NN 
chapter 	NN 
characteristic 	JJ 
character 	NN 
charge 	NN 
charity 	NN 
chart 	NN 
chase 	NN 
chat 	NN 
cheap 	JJ 
cheaply 	RB 
cheat 	VB 
check 	NN 
cheek 	NN 
cheerful 	JJ 
cheerfully 	RB 
cheese 	NN 
chemical 	NN 
chemist 	NN 
chemistry 	NN 
chest 	NN 
chew 	VB 
chicken 	NN 
chief 	NN 
childhood 	NN 
child 	NN 
chin 	NN 
chip 	NN 
chocolate 	NN 
choice 	NN 
choose 	VB 
chop 	VB 
church 	NN 
cigarette 	NN 
circle 	NN 
circumstance 	NN 
citizen 	NN 
city 	NN 
civil 	JJ 
claim 	NN 
classic 	JJ 
class 	NN 
classroom 	NN 
clean 	JJ 
clear 	JJ 
clearly 	RB 
clerk 	NN 
click 	VBP 
client 	NN 
climate 	NN 
climb 	NN 
clock 	NN 
closed 	VBD 
close 	JJ 
closely 	RB 
close 	NN 
closet 	NN 
clothes 	NNS 
clothing 	NN 
cloth 	NN 
cloud 	NN 
club 	NN 
cm 	NN 
c 	NN 
coach 	NN 
coal 	NN 
coast 	NN 
coat 	NN 
code 	NN 
coffee 	NN 
coin 	NN 
cold 	JJ 
coldly 	RB 
collapse 	NN 
colleague 	NN 
collection 	NN 
collect 	VB 
college 	NN 
colored 	VBN 
color 	NN 
column 	NN 
combination 	NN 
combine 	VBP 
comedy 	NN 
come 	VB 
comfortable 	JJ 
comfortably 	RB 
comfort 	NN 
command 	NN 
comment 	NN 
commercial 	JJ 
commission 	NN 
commitment 	NN 
committee 	NN 
commit 	VB 
common 	JJ 
commonly 	RB 
communicate 	VBP 
communication 	NN 
community 	NN 
company 	NN 
compare 	VBP 
comparison 	NN 
compete 	VB 
competition 	NN 
competitive 	JJ 
complaint 	NN 
complain 	VBP 
complete 	JJ 
completely 	RB 
complex 	NN 
complicated 	VBN 
complicate 	VBP 
component 	NN 
computer 	NN 
concentrate 	NN 
concentration 	NN 
concept 	NN 
concerned 	JJ 
concerning 	VBG 
concern 	NN 
concert 	NN 
conclude 	VBP 
conclusion 	NN 
concrete 	JJ 
condition 	NN 
conduct 	NN 
conference 	NN 
confidence 	NN 
confident 	JJ 
confidently 	RB 
confirm 	VBP 
conflict 	NN 
confront 	VBP 
confused 	JJ 
confuse 	VB 
confusing 	JJ 
confusion 	NN 
congratulations 	NNS 
congress 	NN 
connection 	NN 
connect 	VB 
conscious 	JJ 
consequence 	NN 
conservative 	JJ 
considerable 	JJ 
considerably 	RB 
consideration 	NN 
consider 	VBP 
consistent 	JJ 
consist 	VBP 
constant 	JJ 
constantly 	RB 
construction 	NN 
construct 	NN 
consult 	VB 
consumer 	NN 
contact 	NN 
container 	NN 
contain 	VBP 
contemporary 	JJ 
content 	NN 
contest 	NN 
context 	NN 
continent 	NN 
continue 	VBP 
continuous 	JJ 
continuously 	RB 
contract 	NN 
contrasting 	VBG 
contrast 	NN 
contribute 	VBP 
contribution 	NN 
controlled 	JJ 
control 	NN 
convenient 	JJ 
conventional 	JJ 
convention 	NN 
conversation 	NN 
convert 	VBP 
convince 	VB 
cookie 	NN 
cooking 	NN 
cook 	NN 
cook 	VBP 
cool 	JJ 
cooperation 	NN 
copy 	NN 
core 	NN 
corner 	NN 
correct 	JJ 
correctly 	RB 
cost 	NN 
cottage 	NN 
cotton 	NN 
cough 	NN 
could 	MD 
council 	NN 
counter 	NN 
count 	NN 
country 	NN 
countryside 	NN 
county 	NN 
couple 	NN 
courage 	NN 
course 	NN 
court 	NN 
cousin 	NN 
covered 	VBD 
covering 	VBG 
cover 	NN 
cow 	NN 
cracked 	VBD 
crack 	NN 
craft 	NN 
crash 	NN 
crazy 	JJ 
cream 	NN 
create 	VB 
creation 	NN 
creative 	JJ 
creature 	NN 
creditcard 	NN 
credit 	NN 
crime 	NN 
criminal 	JJ 
crisis 	NN 
crisp 	JJ 
criterion 	NN 
critical 	JJ 
criticism 	NN 
criticize 	VBP 
critic 	NN 
crop 	NN 
cross 	NN 
crowded 	VBD 
crowd 	NN 
crown 	NN 
crucial 	JJ 
cruel 	JJ 
crush 	NN 
cry 	NN 
cultural 	JJ 
culture 	NN 
cupboard 	NN 
cup 	NN 
cure 	NN 
curious 	JJ 
curiously 	RB 
curl 	VB 
curly 	JJ 
current 	JJ 
currently 	RB 
curtain 	NN 
curved 	VBD 
curve 	NN 
customer 	NN 
custom 	NN 
customs 	NNS 
cute 	JJ 
cut 	NN 
cycle 	NN 
cycling 	NN 
dad 	NN 
daily 	JJ 
damage 	NN 
damp 	JJ 
dance 	NN 
dancer 	NN 
dancing 	NN 
danger 	NN 
dangerous 	JJ 
dare 	VBP 
dark 	JJ 
data 	NNS 
date 	NN 
daughter 	NN 
day 	NN 
dead 	JJ 
deaf 	JJ 
deal 	NN 
dear 	RB 
death 	NN 
debate 	NN 
debt 	NN 
decade 	NN 
decay 	NN 
December 	NNP 
decent 	JJ 
decide 	VBP 
decision 	NN 
declare 	VB 
decline 	NN 
decorate 	VB 
decoration 	NN 
decorative 	JJ 
decrease 	NN 
decrease 	VBP 
deep 	JJ 
deeply 	RB 
defeat 	NN 
defeat 	VB 
defend 	VB 
defense 	NN 
define 	VB 
definite 	JJ 
definitely 	RB 
definition 	NN 
degree 	NN 
delay 	NN 
deliberate 	JJ 
deliberately 	RB 
delicate 	JJ 
delight 	NN 
deliver 	VBP 
delivery 	NN 
demand 	NN 
democracy 	NN 
democratic 	JJ 
demonstrate 	VBP 
demonstration 	NN 
dentist 	NN 
deny 	VBP 
department 	NN 
departure 	NN 
depend 	VBP 
deposit 	NN 
depressed 	VBD 
depressing 	JJ 
depress 	VBP 
depth 	NN 
derive 	VBP 
describe 	VBP 
description 	NN 
desert 	NN 
deserve 	VBP 
designer 	NN 
design 	NN 
desire 	NN 
desk 	NN 
desperate 	JJ 
desperately 	RB 
despite 	IN 
destroy 	VB 
destruction 	NN 
detailed 	JJ 
detail 	NN 
determination 	NN 
determined 	VBD 
determine 	VB 
development 	NN 
develop 	VB 
device 	NN 
devoted 	JJ 
devote 	VBP 
diagram 	NN 
dialog 	NN 
dialogue 	NN 
diamond 	NN 
diary 	NN 
dictionary 	NN 
diet 	NN 
die 	VB 
difference 	NN 
different 	JJ 
differently 	RB 
difficult 	JJ 
difficulty 	NN 
digital 	JJ 
dig 	NN 
dinner 	NN 
direction 	NN 
direct 	JJ 
directly 	RB 
director 	NN 
dirt 	NN 
dirty 	JJ 
disability 	NN 
disadvantage 	NN 
disagreement 	NN 
disagree 	VBP 
disappear 	VBP 
disappointed 	JJ 
disappointing 	JJ 
disappointment 	NN 
disappoint 	VBP 
disapproval 	NN 
disapprove 	VBP 
disapproving 	VBG 
disaster 	NN 
discipline 	NN 
disc 	NN 
discount 	NN 
discover 	VBP 
discovery 	NN 
discussion 	NN 
discuss 	VBP 
disease 	NN 
disgusted 	JJ 
disgusting 	JJ 
disgust 	NN 
dish 	NN 
dishonest 	JJ 
dishonestly 	RB 
disk 	NN 
dislike 	NN 
dismiss 	VB 
display 	NN 
dissolve 	VBP 
distance 	NN 
distant 	JJ 
distinguish 	VBP 
distribute 	VB 
distribution 	NN 
district 	NN 
disturbing 	JJ 
disturb 	VBP 
divide 	NN 
division 	NN 
divorced 	VBN 
divorce 	NN 
doctor 	NN 
document 	NN 
dog 	NN 
dollar 	NN 
domestic 	JJ 
dominate 	VB 
door 	NN 
dot 	NN 
double 	JJ 
double 	RB 
doubt 	NN 
do 	VBP 
down 	RB 
downstairs 	NNS 
downstairs 	RB 
downstairs 	VBZ 
downtown 	NN 
downward 	JJ 
downwards 	NNS 
dozen 	NN 
draft 	NN 
drag 	NN 
drama 	NN 
dramatically 	RB 
dramatic 	JJ 
drawer 	NN 
drawing 	VBG 
draw 	NN 
dream 	NN 
dressed 	VBN 
dress 	NN 
drink 	NN 
drive 	NN 
driver 	NN 
driving 	VBG 
drop 	NN 
drug 	NN 
drugstore 	NN 
drum 	VBP 
drunk 	JJ 
dry 	JJ 
due 	JJ 
dull 	JJ 
dump 	NN 
during 	IN 
dust 	NN 
duty 	NN 
DVD 	NN 
dying 	VBG 
each 	DT 
eager 	JJ 
early 	JJ 
ear 	NN 
earn 	VBP 
earth 	NN 
ease 	NN 
easily 	RB 
eastern 	JJ 
east 	JJ 
easy 	JJ 
eat 	VBP 
economic 	JJ 
economics 	NNS 
economy 	NN 
edge 	NN 
edition 	NN 
editor 	NN 
educated 	VBN 
educate 	VBP 
educational 	JJ 
education 	NN 
effective 	JJ 
effectively 	RB 
effect 	NN 
efficient 	JJ 
efficiently 	RB 
effort 	NN 
e.g. 	FW 
egg 	NN 
either 	CC 
elbow 	NN 
elderly 	JJ 
election 	NN 
electrical 	JJ 
electricity 	NN 
electric 	JJ 
electronic 	JJ 
elect 	VB 
elegant 	JJ 
element 	NN 
elevator 	NN 
eliminate 	VB 
else 	RB 
elsewhere 	RB 
e-mail 	JJ 
e-mail 	NN 
email 	NN 
embarrassed 	JJ 
embarrassing 	JJ 
embarrassment 	NN 
embarrass 	VBP 
emergency 	NN 
emerge 	VBP 
emotional 	JJ 
emotionally 	RB 
emotion 	NN 
emphasis 	NN 
emphasize 	VBP 
empire 	NN 
employee 	NN 
employer 	NN 
employment 	NN 
employ 	VBP 
empty 	JJ 
enable 	VBP 
encounter 	NN 
encouragement 	NN 
encourage 	VBP 
ending 	VBG 
end 	NN 
enemy 	NN 
energy 	NN 
engaged 	VBD 
engage 	VB 
engineering 	NN 
engineer 	NN 
engine 	NN 
enjoyable 	JJ 
enjoyment 	NN 
enjoy 	VB 
enormous 	JJ 
enough 	JJ 
enough 	RB 
ensure 	VB 
entertainer 	NN 
entertaining 	JJ 
entertainment 	NN 
entertain 	VB 
enter 	VB 
enthusiasm 	NN 
enthusiastic 	JJ 
entire 	JJ 
entirely 	RB 
entitle 	VB 
entrance 	NN 
entry 	NN 
envelope 	NN 
environmental 	JJ 
environment 	NN 
equal 	JJ 
equally 	RB 
equipment 	NN 
equivalent 	JJ 
era 	NN 
error 	NN 
escape 	NN 
especially 	RB 
essay 	NN 
essential 	JJ 
essentially 	RB 
establish 	VB 
estate 	NN 
estimate 	NN 
etc. 	FW 
ethnic 	JJ 
evening 	NN 
even 	RB 
event 	NN 
eventually 	RB 
ever 	RB 
everybody 	NN 
every 	DT 
everyone 	NN 
everything 	NN 
everywhere 	RB 
evidence 	NN 
evil 	JJ 
exact 	JJ 
exactly 	RB 
exaggerated 	JJ 
exaggerate 	VB 
examination 	NN 
examine 	VB 
exam 	NN 
example 	NN 
excellent 	JJ 
except 	IN 
exception 	NN 
exchange 	NN 
excited 	VBN 
excitement 	NN 
excite 	NN 
exciting 	JJ 
exclude 	VBP 
excluding 	VBG 
excuse 	NN 
executive 	NN 
exercise 	NN 
exhibition 	NN 
exhibit 	NN 
exhibit 	VBP 
existence 	NN 
exist 	VBP 
exit 	NN 
expand 	VB 
expectation 	NN 
expected 	VBN 
expect 	VBP 
expense 	NN 
expensive 	JJ 
experienced 	JJ 
experience 	NN 
experiment 	NN 
expert 	NN 
explain 	VBP 
explanation 	NN 
explode 	VB 
explore 	VB 
explosion 	NN 
export 	NN 
expose 	VB 
expression 	NN 
express 	VB 
express 	VBP 
extend 	VB 
extension 	NN 
extensive 	JJ 
extent 	NN 
extra 	JJ 
extraordinary 	JJ 
extreme 	JJ 
extremely 	RB 
eye 	NN 
face 	NN 
facility 	NN 
fact 	NN 
factor 	NN 
factory 	NN 
failure 	NN 
fail 	VBP 
faint 	JJ 
faintly 	RB 
fair 	JJ 
fairly 	RB 
faithful 	JJ 
faithfully 	RB 
faith 	NN 
fall 	NN 
false 	JJ 
fame 	NN 
familiar 	JJ 
family 	NN 
famous 	JJ 
fancy 	JJ 
fan 	NN 
farmer 	NN 
farming 	VBG 
farm 	NN 
far 	RB 
farther 	RBR 
farthest 	JJS 
fashionable 	JJ 
fashion 	NN 
fasten 	VB 
fast 	RB 
father 	NN 
fat 	JJ 
fault 	NN 
favorite 	JJ 
favor 	NN 
fear 	NN 
fear 	VBP 
feather 	NN 
feature 	NN 
February 	NNP 
federal 	JJ 
feed 	NN 
feeling 	NN 
feel 	VBP 
fee 	NN 
fellow 	JJ 
female 	JJ 
fence 	NN 
festival 	NN 
fever 	NN 
few 	JJ 
field 	NN 
fighting 	VBG 
fight 	NN 
figure 	NN 
file 	NN 
fill 	NN 
film 	NN 
final 	JJ 
finally 	RB 
finance 	NN 
financial 	JJ 
find 	VB 
fine 	JJ 
finely 	RB 
finger 	NN 
finished 	VBD 
finish 	NN 
fire 	NN 
firm 	JJ 
firmly 	RB 
firm 	NN 
first 	JJ 
fishing 	NN 
fish 	NN 
fit 	NN 
fixed 	VBN 
fix 	NN 
flag 	NN 
flame 	NN 
flash 	NN 
flat 	JJ 
flavor 	NN 
flesh 	NN 
flight 	NN 
float 	NN 
flood 	NN 
floor 	NN 
flour 	NN 
flower 	NN 
flow 	NN 
flu 	NN 
flying 	VBG 
fly 	NN 
focus 	NN 
folding 	JJ 
fold 	NN 
folk 	NN 
following 	VBG 
follow 	VB 
food 	NN 
football 	NN 
foot 	NN 
force 	NN 
forecast 	NN 
foreign 	JJ 
forest 	NN 
forever 	RB 
forget 	VB 
forgive 	VBP 
for 	IN 
fork 	NN 
formal 	JJ 
formally 	RB 
former 	JJ 
formerly 	RB 
form 	NN 
formula 	NN 
fortune 	NN 
forward 	RB 
forwards 	RB 
foundation 	NN 
found 	VBD 
frame 	NN 
freedom 	NN 
free 	JJ 
freely 	RB 
freeze 	NN 
frequent 	JJ 
frequently 	RB 
fresh 	JJ 
freshly 	RB 
Friday 	NNP 
friendly 	JJ 
friend 	NN 
friendship 	NN 
frightened 	VBD 
frightening 	JJ 
frighten 	NN 
from 	IN 
front 	JJ 
frozen 	JJ 
fruit 	NN 
fry 	NN 
fuel 	NN 
full 	JJ 
fully 	RB 
function 	NN 
fundamental 	JJ 
fund 	NN 
funeral 	NN 
fun 	NN 
funny 	JJ 
furniture 	NN 
fur 	NN 
further 	JJ 
furthest 	JJS 
future 	JJ 
gain 	NN 
gallon 	NN 
gamble 	NN 
gambling 	NN 
game 	NN 
gap 	NN 
garage 	NN 
garbage 	NN 
garden 	NN 
gas 	NN 
gasoline 	NN 
gate 	NN 
gather 	VBP 
gay 	JJ 
gear 	NN 
gene 	NN 
general 	JJ 
generally 	RB 
generate 	VBP 
generation 	NN 
generous 	JJ 
generously 	RB 
gentle 	JJ 
gentleman 	NN 
gently 	RB 
genuine 	JJ 
genuinely 	RB 
geography 	NN 
get 	VB 
giant 	JJ 
gift 	NN 
girlfriend 	NN 
girl 	NN 
give 	VBP 
glad 	JJ 
glasses 	NNS 
glass 	NN 
global 	JJ 
glove 	NN 
glue 	NN 
goal 	NN 
god 	NN 
gold 	NN 
goodbye 	NN 
good 	JJ 
goods 	NNS 
go 	VB 
government 	NN 
governor 	NN 
govern 	VBP 
grab 	NN 
grade 	NN 
gradual 	JJ 
gradually 	RB 
graduate 	JJ 
graduate 	NN 
grain 	NN 
grammar 	NN 
grandchild 	NN 
granddaughter 	NN 
grandfather 	NN 
grand 	JJ 
grandmother 	NN 
grandparent 	NN 
grandson 	NN 
grant 	NN 
grass 	NN 
grateful 	JJ 
grave 	JJ 
grave 	NN 
gray 	JJ 
great 	JJ 
greatly 	RB 
green 	JJ 
groceries 	NNS 
grocery 	NN 
ground 	NN 
group 	NN 
growth 	NN 
grow 	VB 
guarantee 	NN 
guard 	NN 
guess 	NN 
guest 	NN 
guide 	NN 
guilty 	JJ 
guitar 	NN 
gun 	NN 
guy 	NN 
habit 	NN 
hairdresser 	NN 
hair 	NN 
half 	NN 
hall 	NN 
hammer 	NN 
handle 	VB 
hand 	NN 
hang 	VBP 
happen 	VB 
happily 	RB 
happiness 	NN 
happy 	JJ 
hard 	JJ 
hardly 	RB 
harmful 	JJ 
harmless 	JJ 
harm 	NN 
hate 	NN 
hat 	NN 
hatred 	NN 
have 	VBP 
headache 	NN 
head 	NN 
health 	NN 
healthy 	JJ 
heal 	VBP 
hearing 	NN 
heart 	NN 
hear 	VBP 
heating 	NN 
heat 	NN 
heaven 	NN 
heavily 	RB 
heavy 	JJ 
heel 	NN 
height 	NN 
hell 	NN 
hello 	UH 
helpful 	JJ 
help 	NN 
help 	VB 
he 	PRP 
here 	RB 
hero 	NN 
her 	PRP$ 
herself 	PRP 
hers 	NNS 
hesitate 	VB 
hide 	VB 
high 	JJ 
highlight 	NN 
highly 	RB 
high 	RB 
highschool 	JJ 
highway 	NN 
hill 	NN 
him 	PRP 
himself 	PRP 
hip 	NN 
hire 	VB 
his 	PRP$ 
historical 	JJ 
history 	NN 
hit 	NN 
hit 	VBD 
hi 	UH 
hobby 	NN 
hold 	NN 
hold 	VBP 
hole 	NN 
holiday 	NN 
hollow 	JJ 
holy 	JJ 
home 	NN 
homework 	NN 
honest 	JJ 
honestly 	RB 
honor 	NN 
hook 	NN 
hopefully 	RB 
hope 	NN 
hope 	VBP 
horizontal 	JJ 
horn 	NN 
horror 	NN 
horse 	NN 
hospital 	NN 
host 	NN 
hotel 	NN 
hot 	JJ 
hour 	NN 
household 	NN 
house 	NN 
housing 	NN 
however 	RB 
how 	WRB 
huge 	JJ 
human 	JJ 
humor 	NN 
humorous 	JJ 
hungry 	JJ 
hunting 	NN 
hunt 	NN 
hurry 	NN 
hurt 	VBD 
husband 	NN 
ice-cream 	JJ 
ice 	NN 
ideal 	JJ 
ideally 	RB 
idea 	NN 
identify 	VBP 
identity 	NN 
i.e. 	FW 
if 	IN 
ignore 	VB 
illegal 	JJ 
illegally 	RB 
ill 	JJ 
illness 	NN 
illustrate 	VBP 
image 	NN 
imaginary 	JJ 
imagination 	NN 
imagine 	VBP 
immediate 	JJ 
immediately 	RB 
immoral 	JJ 
impact 	NN 
impatiently 	RB 
impatient 	NN 
implication 	NN 
imply 	VBP 
importance 	NN 
important 	JJ 
importantly 	RB 
import 	NN 
impose 	VB 
impossible 	JJ 
impressed 	JJ 
impression 	NN 
impressive 	JJ 
impress 	VB 
improvement 	NN 
improve 	VB 
inability 	NN 
inch 	NN 
incident 	NN 
include 	VBP 
including 	VBG 
income 	NN 
increase 	NN 
increasingly 	RB 
indeed 	RB 
independence 	NN 
independent 	JJ 
independently 	RB 
index 	NN 
indicate 	VBP 
indication 	NN 
indirect 	JJ 
indirectly 	RB 
individual 	JJ 
indoor 	JJ 
indoors 	RB 
industrial 	JJ 
industry 	NN 
inevitable 	JJ 
inevitably 	RB 
infected 	JJ 
infection 	NN 
infectious 	JJ 
infect 	VB 
influence 	NN 
informal 	JJ 
information 	NN 
inform 	VBP 
ingredient 	NN 
in 	IN 
initial 	JJ 
initially 	RB 
initiative 	NN 
injured 	VBN 
injure 	NN 
injury 	NN 
ink 	NN 
inner 	JJ 
innocent 	JJ 
inquiry 	NN 
insect 	JJ 
insert 	NN 
inside 	IN 
inside 	JJ 
insist 	VBP 
install 	VB 
instance 	NN 
instead 	RB 
institute 	NN 
institution 	NN 
instruction 	NN 
instrument 	NN 
insulting 	JJ 
insult 	NN 
insurance 	NN 
intellectual 	JJ 
intelligence 	NN 
intelligent 	JJ 
intended 	JJ 
intend 	VBP 
intense 	JJ 
intention 	NN 
interested 	JJ 
interesting 	JJ 
interest 	NN 
